standard_csr_heading,protocol_headings,sar_headings
Evaluation of Each Laboratory Parameter,,
Laboratory values over time,,
Individual patient changes,,
Individual Clinically Significant Abnormalities,,
"Vital Signs , Physical Findings and Other Observations related to Safety",,"Table 14.3.5.1 Summary of Physical Examination–(N=201),"
Safety Conclusions,,
DISCUSSION AND OVERALL CONCLUSIONS,,
TABLE/FIGURES/GRAPHS REFERRED TO BUT NoT INCLUDED IN THE TEXT,,
Demographic Data,,
Efficacy Data,,
Safety Data,,
Display of Adverse Events,,
"Listing of Deaths, Other Serious and Significant Adverse Events",,
"Narratives of Death, Other Serious and Certain Other Significant Adverse Events",,
Abnormal Laboratory value listing,,
REFERENCES,"REFERENCES,",
Appendices,,
Study Information,,
Protocol and Protocol Amendments,,
Sample Case Report Form(s),,
"List of Independent Ethics Committees or Institutional Review Boards, and Sample Consent Forms Plus the Name of the Committee Chair if Required by the Regulatory Authority) -Representative Written Information for Subject, and Sample Consent Forms",,
"List and Description of Investigators and Other Important Participants in the Study, Including Brief (one Page) CV?s or Equivalent Summaries of Training and Experience Relevant to the Performance of the Clinical Study",,
"Signatures of Principal or Coordinating Investigator(s) or Sponsor?s Responsible Medical Officer, Depending on the Regulatory Authority?s Requirement",,
"Listings of Subjects Receiving Test Drug(s)/Investigational Product(s) from Specific Batches, where more than one batch was used",,
Randomisation Scheme and Codes (Subject Identification and Treatment Assigned),,
Audit Certificates,,
Documentation of Statistical Methods,,
Documentation of Inter-Laboratory Standardisation Methods and Quality Assurance Procedures if Used,,
Publications based on the Study,,
Important publications referenced in the report,,
Patient Data Listings,,
Discontinued Patients,,
Protocol Deviations,,
Patients Excluded from the Efficacy Analysis,,
Demographic Data,,
Compliance and/or Drug Concentration Data,,
Individual Efficacy Response Data,,
Adverse Event Listings,,
"Listing of Individual Laboratory Measurements by Patient, when required by regulatory authorities",,
Case Report Forms,,
"CRF's of Deaths, other Serious Adverse Events, and Withdrawals for Adverse events",,
Other CRF's Submitted,,
Individual Patient Data Listings,,
